date,1. open,2. high,3. low,4. close,5. volume
2026-03-19,249.4000,251.8300,247.3000,248.9600,34864082
2026-03-18,252.6250,254.9400,249.0000,249.9400,35757874
2026-03-17,252.9550,255.1300,252.1800,254.2300,32361607
2026-03-16,252.1050,253.8850,249.8800,252.8200,32074209
2026-03-13,255.4800,256.3300,249.5200,250.1200,36929988
2026-03-12,258.6600,258.9500,254.1800,255.7600,40794020
2026-03-11,261.0900,262.1300,259.5500,260.8100,26218927
2026-03-10,257.6450,262.4800,256.9500,260.8300,30590765
2026-03-09,255.6900,261.1500,253.6805,259.8800,38218533
2026-03-06,258.6300,258.7700,254.3700,257.4600,41120042
2026-03-05,260.7900,261.5550,257.2500,260.2900,49658626
2026-03-04,264.6500,266.1500,261.4200,262.5200,39803119
2026-03-03,263.4800,265.5600,260.1300,263.7500,38568921
2026-03-02,262.4100,266.5300,260.2000,264.7200,41827946
2026-02-27,272.8100,272.8100,262.8900,264.1800,72366505
2026-02-26,274.9450,276.1100,270.7950,272.9500,32345114
2026-02-25,271.7800,274.9400,271.0500,274.2300,33714342
2026-02-24,267.8600,274.8900,267.7100,272.1400,47014619
2026-02-23,263.4900,269.4300,263.3810,266.1800,37308155
2026-02-20,258.9700,264.7500,258.1600,264.5800,42070499
2026-02-19,262.6000,264.4800,260.0500,260.5800,30845294
2026-02-18,263.6000,266.8200,262.4500,264.3500,34203337
2026-02-17,258.0500,266.2900,255.5400,263.8800,58469094
2026-02-13,262.0100,262.2300,255.4500,255.7800,56290673
2026-02-12,275.5900,275.7200,260.1800,261.7300,81077229
2026-02-11,274.6950,280.1800,274.4500,275.5000,51931283
2026-02-10,274.8850,275.3700,272.9400,273.6800,34376898
2026-02-09,277.9050,278.2000,271.7000,274.6200,44623396
2026-02-06,277.1200,280.9050,276.9250,278.1200,50453414
2026-02-05,278.1300,279.5000,273.2300,275.9100,52977441
2026-02-04,272.2850,278.9500,272.2850,276.4900,90545710
2026-02-03,269.2000,271.8750,267.6100,269.4800,63799388
2026-02-02,260.0300,270.4900,259.2050,270.0100,73913425
2026-01-30,255.1650,261.8999,252.1800,259.4800,92443408
2026-01-29,258.0000,259.6500,254.4100,258.2800,67253009
2026-01-28,257.6500,258.8550,254.5100,256.4400,41287971
2026-01-27,259.1700,261.9500,258.2100,258.2700,48787855
2026-01-26,251.4800,256.5600,249.8000,255.4100,55969234
2026-01-23,247.3200,249.4100,244.6800,248.0400,41688982
2026-01-22,249.2000,251.0000,248.1500,248.3500,39708340
2026-01-21,248.7000,251.5600,245.1800,247.6500,54641725
2026-01-20,252.7300,254.7900,243.4200,246.7000,77280987
2026-01-16,257.9000,258.9000,254.9300,255.5300,72142773
2026-01-15,260.6500,261.0400,257.0500,258.2100,39388564
2026-01-14,259.4900,261.8200,256.7100,259.9600,40019421
2026-01-13,258.7200,261.8100,258.3900,261.0500,45730847
2026-01-12,259.1600,261.3000,256.8000,260.2500,45263767
2026-01-09,259.0750,260.2100,256.2200,259.3700,39996967
2026-01-08,257.0200,259.2900,255.7000,259.0400,50419337
2026-01-07,263.2000,263.6800,259.8100,260.3300,48309804
2026-01-06,267.0000,267.5500,262.1200,262.3600,52352090
2026-01-05,270.6400,271.5100,266.1400,267.2600,45647190
2026-01-02,272.2550,277.8400,269.0000,271.0100,37838054
2025-12-31,273.0600,273.6800,271.7500,271.8600,27293639
2025-12-30,272.8100,274.0800,272.2800,273.0800,22139617
2025-12-29,272.6900,274.3600,272.3500,273.7600,23715213
2025-12-26,274.1600,275.3700,272.8600,273.4000,21521802
2025-12-24,272.3400,275.4300,272.1950,273.8100,17910574
2025-12-23,270.8400,272.5000,269.5600,272.3600,29641999
2025-12-22,272.8600,273.8800,270.5050,270.9700,36571827
2025-12-19,272.1450,274.6000,269.9000,273.6700,144632048
2025-12-18,273.6050,273.6300,266.9500,272.1900,51630721
2025-12-17,275.0100,276.1600,271.6400,271.8400,50138743
2025-12-16,272.8200,275.5000,271.7900,274.6100,37648628
2025-12-15,280.1500,280.1500,272.8400,274.1100,50409078
